timestamp,junction,signal_state,ambulance_position,traffic_density
0,A,RED,A,LOW
0,B,RED,A,LOW
0,C,RED,A,LOW
0,D,GREEN,A,LOW
0,E,GREEN,A,LOW
0,F,GREEN,A,LOW
0,G,RED,A,LOW
0,H,RED,A,LOW
0,I,GREEN,A,LOW
0,A,RED,A,LOW
0,B,RED,A,LOW
0,C,RED,A,LOW
0,D,GREEN,A,LOW
0,E,GREEN,A,LOW
0,F,GREEN,A,LOW
0,G,RED,A,LOW
0,H,RED,A,LOW
0,I,GREEN,A,LOW
10,A,RED,A,LOW
10,B,RED,A,LOW
10,C,GREEN,A,LOW
10,D,GREEN,A,LOW
10,E,GREEN,A,LOW
10,F,RED,A,LOW
10,G,RED,A,LOW
10,H,RED,A,LOW
10,I,GREEN,A,LOW
20,A,RED,A,LOW
20,B,GREEN,A,LOW
20,C,GREEN,A,LOW
20,D,GREEN,A,LOW
20,E,RED,A,LOW
20,F,RED,A,LOW
20,G,RED,A,LOW
20,H,GREEN,A,LOW
20,I,GREEN,A,LOW
30,A,GREEN,A,LOW
30,B,GREEN,A,LOW
30,C,GREEN,A,LOW
30,D,RED,A,LOW
30,E,RED,A,LOW
30,F,RED,A,LOW
30,G,GREEN,A,LOW
30,H,GREEN,A,LOW
30,I,RED,A,LOW
40,A,GREEN,A,LOW
40,B,GREEN,A,LOW
40,C,RED,A,LOW
40,D,RED,A,LOW
40,E,RED,A,LOW
40,F,GREEN,A,LOW
40,G,GREEN,A,LOW
40,H,YELLOW,A,LOW
40,I,RED,A,LOW
50,A,GREEN,A,LOW
50,B,RED,A,LOW
50,C,RED,A,LOW
50,D,RED,A,LOW
50,E,GREEN,A,LOW
50,F,GREEN,A,LOW
50,G,GREEN,A,LOW
50,H,RED,A,LOW
50,I,RED,A,LOW
60,A,RED,A,LOW
60,B,RED,A,LOW
60,C,RED,A,LOW
60,D,GREEN,A,LOW
60,E,GREEN,A,LOW
60,F,GREEN,A,LOW
60,G,RED,A,LOW
60,H,RED,A,LOW
60,I,GREEN,A,LOW
70,A,RED,A,LOW
70,B,RED,A,LOW
70,C,GREEN,A,LOW
70,D,GREEN,A,LOW
70,E,GREEN,A,LOW
70,F,RED,A,LOW
70,G,RED,A,LOW
70,H,RED,A,LOW
70,I,GREEN,A,LOW
80,A,RED,B,LOW
80,B,GREEN,B,LOW
80,C,GREEN,B,LOW
80,D,GREEN,B,LOW
80,E,RED,B,LOW
80,F,RED,B,LOW
80,G,RED,B,LOW
80,H,GREEN,B,LOW
80,I,GREEN,B,LOW
80,A,RED,B,LOW
80,B,GREEN,B,LOW
80,C,GREEN,B,LOW
80,D,GREEN,B,LOW
80,E,RED,B,LOW
80,F,RED,B,LOW
80,G,RED,B,LOW
80,H,GREEN,B,LOW
80,I,GREEN,B,LOW
90,A,GREEN,B,LOW
90,B,GREEN,B,LOW
90,C,GREEN,B,LOW
90,D,RED,B,LOW
90,E,RED,B,LOW
90,F,RED,B,LOW
90,G,GREEN,B,LOW
90,H,GREEN,B,LOW
90,I,RED,B,LOW
100,A,GREEN,B,LOW
100,B,GREEN,B,LOW
100,C,RED,B,LOW
100,D,RED,B,LOW
100,E,RED,B,LOW
100,F,GREEN,B,LOW
100,G,GREEN,B,LOW
100,H,YELLOW,B,LOW
100,I,RED,B,LOW
110,A,GREEN,B,LOW
110,B,RED,B,LOW
110,C,RED,B,LOW
110,D,RED,B,LOW
110,E,GREEN,B,LOW
110,F,GREEN,B,LOW
110,G,GREEN,B,LOW
110,H,RED,B,LOW
110,I,RED,B,LOW
120,A,RED,B,LOW
120,B,RED,B,LOW
120,C,RED,B,LOW
120,D,GREEN,B,LOW
120,E,GREEN,B,LOW
120,F,GREEN,B,LOW
120,G,RED,B,LOW
120,H,RED,B,LOW
120,I,GREEN,B,LOW
130,A,RED,B,LOW
130,B,RED,B,LOW
130,C,GREEN,B,LOW
130,D,GREEN,B,LOW
