timestamp,junction,signal_state,ambulance_position,traffic_density
0,A,RED,-,LOW
0,B,RED,-,LOW
0,C,RED,-,LOW
0,D,GREEN,-,LOW
0,E,GREEN,-,LOW
0,F,GREEN,-,LOW
0,G,RED,-,LOW
0,H,RED,-,LOW
0,I,GREEN,-,LOW
10,A,RED,-,LOW
10,B,RED,-,LOW
10,C,GREEN,-,LOW
10,D,GREEN,-,LOW
10,E,GREEN,-,LOW
10,F,RED,-,LOW
10,G,RED,-,LOW
10,H,RED,-,LOW
10,I,GREEN,-,LOW
20,A,RED,-,LOW
20,B,GREEN,-,LOW
20,C,GREEN,-,LOW
20,D,GREEN,-,LOW
20,E,RED,-,LOW
20,F,RED,-,LOW
20,G,RED,-,LOW
20,H,GREEN,-,LOW
20,I,GREEN,-,LOW
30,A,GREEN,-,LOW
30,B,GREEN,-,LOW
30,C,GREEN,-,LOW
30,D,RED,-,LOW
30,E,RED,-,LOW
30,F,RED,-,LOW
30,G,GREEN,-,LOW
30,H,GREEN,-,LOW
30,I,RED,-,LOW
40,A,GREEN,-,LOW
40,B,GREEN,-,LOW
40,C,RED,-,LOW
40,D,RED,-,LOW
40,E,RED,-,LOW
40,F,GREEN,-,LOW
40,G,GREEN,-,LOW
40,H,YELLOW,-,LOW
40,I,RED,-,LOW
50,A,GREEN,-,LOW
50,B,RED,-,LOW
50,C,RED,-,LOW
50,D,RED,-,LOW
50,E,GREEN,-,LOW
50,F,GREEN,-,LOW
50,G,GREEN,-,LOW
50,H,RED,-,LOW
50,I,RED,-,LOW
60,A,RED,-,LOW
60,B,RED,-,LOW
60,C,RED,-,LOW
60,D,GREEN,-,LOW
60,E,GREEN,-,LOW
60,F,GREEN,-,LOW
60,G,RED,-,LOW
60,H,RED,-,LOW
60,I,GREEN,-,LOW
70,A,RED,-,LOW
70,B,RED,-,LOW
70,C,GREEN,-,LOW
70,D,GREEN,-,LOW
70,E,GREEN,-,LOW
70,F,RED,-,LOW
70,G,RED,-,LOW
70,H,RED,-,LOW
70,I,GREEN,-,LOW
80,A,RED,-,LOW
80,B,GREEN,-,LOW
80,C,GREEN,-,LOW
80,D,GREEN,-,LOW
80,E,RED,-,LOW
80,F,RED,-,LOW
80,G,RED,-,LOW
80,H,GREEN,-,LOW
80,I,GREEN,-,LOW
90,A,GREEN,-,LOW
90,B,GREEN,-,LOW
90,C,GREEN,-,LOW
90,D,RED,-,LOW
90,E,RED,-,LOW
90,F,RED,-,LOW
90,G,GREEN,-,LOW
90,H,GREEN,-,LOW
90,I,RED,-,LOW
100,A,GREEN,-,LOW
100,B,GREEN,-,LOW
100,C,RED,-,LOW
100,D,RED,-,LOW
100,E,RED,-,LOW
100,F,GREEN,-,LOW
100,G,GREEN,-,LOW
100,H,YELLOW,-,LOW
100,I,RED,-,LOW
110,A,GREEN,-,LOW
110,B,RED,-,LOW
110,C,RED,-,LOW
110,D,RED,-,LOW
110,E,GREEN,-,LOW
110,F,GREEN,-,LOW
110,G,GREEN,-,LOW
110,H,RED,-,LOW
110,I,RED,-,LOW
120,A,RED,-,LOW
120,B,RED,-,LOW
120,C,RED,-,LOW
120,D,GREEN,-,LOW
120,E,GREEN,-,LOW
120,F,GREEN,-,LOW
120,G,RED,-,LOW
120,H,RED,-,LOW
120,I,GREEN,-,LOW
